News Outlet,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
@BBC,Mon Aug 06 23:17:03 +0000 2018,"Scientists reveal the wonders of Jupiter, using information from @NASA's Juno mission. 🚀✨

Horizon: Jupiter Reveale… https://t.co/yZ0UQjp82Q",0.0,0.0,0.0,1.0,1
@BBC,Mon Aug 06 23:17:03 +0000 2018,Ever wondered if your teeny tiny adorable cat is actually trying to kill you? 🤷‍♀️😼 https://t.co/FyonKEdYPp,-0.3612,0.146,0.215,0.639,2
@BBC,Mon Aug 06 23:17:03 +0000 2018,These dog cakes are unsettlingly realistic... 🐶😲 https://t.co/pZNff7c1em https://t.co/6RJs6kXkBK,0.0,0.0,0.0,1.0,3
@BBC,Mon Aug 06 23:17:03 +0000 2018,"😍 The geometric patterns of Jupiter's polar storms are incredible. 

#Horizon: Jupiter Revealed | 9pm | @BBCTwo https://t.co/vFNTJEclKU",0.0,0.0,0.0,1.0,4
@BBC,Mon Aug 06 23:17:03 +0000 2018,"📚 Your SQA results day survival guide. 
👉 https://t.co/z1W70i38kd

#ExamResults https://t.co/3z6vvCxRQl",0.0,0.0,0.0,1.0,5
@BBC,Mon Aug 06 23:17:03 +0000 2018,"Under a new system called ""Max's Law"", adults in England will be presumed to consent to donating their organs unles… https://t.co/vmZT9tQuh9",0.2263,0.091,0.0,0.909,6
@BBC,Mon Aug 06 23:17:03 +0000 2018,"""I'm the first Somali male model in Finland""

Zakarie Ali moved to Finland aged 3. Now, he's using his modelling ca… https://t.co/QLpaLnM4t9",0.0,0.0,0.0,1.0,7
@BBC,Mon Aug 06 23:17:03 +0000 2018,"Everyone loves fried potato, but can Belgium claim ownership of the French fry?  🇧🇪🍟🇫🇷
 https://t.co/zllgYOw5Vb https://t.co/kJmiu0ZFWo",0.3291,0.135,0.0,0.865,8
@BBC,Mon Aug 06 23:17:03 +0000 2018,"""If it was your family then you wouldn't like it"". 💔🐘

Meet the schoolgirl who wants to protect endangered elephant… https://t.co/z6RtcX2FFu",0.1255,0.11,0.089,0.801,9
@BBC,Mon Aug 06 23:17:03 +0000 2018,"Do you recycle yoghurt pots and ready meal trays? 🗑♻️

It's emerged that most of the plastic food containers that w… https://t.co/Rr4S2SwdQf",0.3612,0.106,0.0,0.894,10
@BBC,Mon Aug 06 23:17:03 +0000 2018,"✏️ This is what happened when body activists @SofieHagen and @theslumflower drew each other... 

https://t.co/I1Xh3q8KSz",0.0,0.0,0.0,1.0,11
@BBC,Mon Aug 06 23:17:03 +0000 2018,"Tonight, @kdbrundell uncovers the true story of Elizabethan children kidnapped for the stage. 

Abducted - Elizabet… https://t.co/uTxBUH4iGV",-0.128,0.139,0.164,0.697,12
@BBC,Mon Aug 06 23:17:03 +0000 2018,"""No chain... he is free.""

🐻 A heartrending story with a happy ending. https://t.co/0YjmUMBJGg",0.3612,0.248,0.148,0.604,13
@BBC,Mon Aug 06 23:17:03 +0000 2018,RT @BBCTwo: Raise a goblet to the best of the inimitable #MonChevy! ❤️🇫🇷 #Versailles https://t.co/fcY91r5O3y,0.6696,0.257,0.0,0.743,14
@BBC,Mon Aug 06 23:17:03 +0000 2018,"Kyle dreams of being a hairdresser but one of his hands didn't develop properly in the womb. 

✂️ Can Judge from Th… https://t.co/tVRHz1Ayjl",0.2144,0.081,0.0,0.919,15
@BBC,Mon Aug 06 23:17:03 +0000 2018,"These lucky seals have avoided becoming an orca meal by crowding onto a rock in Pentland Firth, Scotland. https://t.co/hjlBOJ64li",0.1027,0.132,0.113,0.755,16
@BBC,Mon Aug 06 23:17:03 +0000 2018,"😍🐴 Donkeys are wearing snazzy trousers and we think they look great.
👉 https://t.co/ywGVbx8ELc https://t.co/2KErCznfT8",0.6249,0.24,0.0,0.76,17
@BBC,Mon Aug 06 23:17:03 +0000 2018,"🦀 When it comes to boxing crabs, the gloves are off!
#AnimalsBehavingBadly https://t.co/vvJ2M41s8e",0.0,0.0,0.0,1.0,18
@BBC,Mon Aug 06 23:17:03 +0000 2018,RT @BBCBreakfast: Jake is one of only ten Brits to reach the summit of the world's second highest mountain... Check out what he did when he…,0.0258,0.042,0.0,0.958,19
@BBC,Mon Aug 06 23:17:03 +0000 2018,"RT @bbc5live: Meet Mojo!
 
The first police dog on the scene of the Manchester Arena attack has been awarded for his bravery.
 
Now, after…",0.4753,0.204,0.102,0.693,20
@BBC,Mon Aug 06 23:17:03 +0000 2018,👰 An American woman has spoken of her dismay after being sacked from her role as bridesmaid prompting others to sha… https://t.co/FGpnAof79D,-0.4215,0.0,0.123,0.877,21
@BBC,Mon Aug 06 23:17:03 +0000 2018,RT @bbcarts: Art detectives Fiona Bruce and @philipmould are back! #FakeorFortune returns to @BBCOne on Sunday 12 August. https://t.co/ukM4…,0.0,0.0,0.0,1.0,22
@BBC,Mon Aug 06 23:17:03 +0000 2018,The amount of plastic waste in the Pacific Ocean is huge. https://t.co/JUYaXXTmX3,-0.128,0.152,0.185,0.662,23
@BBC,Mon Aug 06 23:17:03 +0000 2018,"Six in 10 kidney donors are women – but some 6 in 10 recipients are men. 

This may have health consequences for bo… https://t.co/sdVCZ4wQFL",0.0,0.0,0.0,1.0,24
@BBC,Mon Aug 06 23:17:03 +0000 2018,"🍓❤️ Strawberry Fields Forever.

This former children's home will become a training hub for young people with disabi… https://t.co/SOJqX9c2ac",0.0,0.0,0.0,1.0,25
@BBC,Mon Aug 06 23:17:03 +0000 2018,🙌 @SethMacFarlane is one talented guy. https://t.co/TrFj6ZN1VV,0.5106,0.398,0.0,0.602,26
@BBC,Mon Aug 06 23:17:03 +0000 2018,"Based on a true heartwarming story, starring Meryl Streep and Hugh Grant. 

Florence Foster Jenkins | 8:15pm |… https://t.co/312zYQaCZE",0.8126,0.375,0.0,0.625,27
@BBC,Mon Aug 06 23:17:03 +0000 2018,🤖 We’re at the point where AI can take on mundane household tasks – if slowly. And the implications of this technol… https://t.co/3ZMBwEJa7d,0.0,0.0,0.0,1.0,28
@BBC,Mon Aug 06 23:17:03 +0000 2018,"How can someone work, pay taxes and still be homeless? https://t.co/rCpmM5ybZl",-0.1027,0.0,0.123,0.877,29
@BBC,Mon Aug 06 23:17:03 +0000 2018,"Standing out without standing up. 
(via @BBCThree) https://t.co/Aj7NXlFAq2",0.0,0.0,0.0,1.0,30
@BBC,Mon Aug 06 23:17:03 +0000 2018,😲 Add Vietnam's breathtaking Golden Bridge to your bucket list. https://t.co/ZOQGb7LvZ4,0.4588,0.25,0.0,0.75,31
@BBC,Mon Aug 06 23:17:03 +0000 2018,🔭 The black hole at the centre of our galaxy has helped astronomers confirm a key prediction of Albert Einstein's i… https://t.co/2K8gIbAFQf,0.0,0.0,0.0,1.0,32
@BBC,Mon Aug 06 23:17:03 +0000 2018,"🍽 Are online bookings killing restaurants?

According to some estimates, 'no-shows' account for 5-20% of total rest… https://t.co/PLU5VzHVIV",-0.6597,0.0,0.216,0.784,33
@BBC,Mon Aug 06 23:17:03 +0000 2018,"BLOOPERS! 
@ProfBrianCox can't tell his hominins from his hominids. Or possibly the other way around. https://t.co/tMtcUiyfED",0.0,0.0,0.0,1.0,34
@BBC,Mon Aug 06 23:17:03 +0000 2018,"RT @bbccomedy: RIP dear Barry Chuckle. Here's to you. ❤️

https://t.co/rSwjoRcPAZ",0.6486,0.371,0.0,0.629,35
@BBC,Mon Aug 06 23:17:03 +0000 2018,"Barry Chuckle, one half of the comedy duo the Chuckle Brothers, has died aged 73 after a short period of ill health… https://t.co/bsG0GOtdTJ",0.128,0.252,0.204,0.543,36
@BBC,Mon Aug 06 23:17:03 +0000 2018,📖👀 Meet the boy who has written a book with his eyes. https://t.co/j7TmFadeQk,0.0,0.0,0.0,1.0,37
@BBC,Mon Aug 06 23:17:03 +0000 2018,"📚 From a novel within a novel to a surreal thriller set in Cuba, here are 10 books to read in August.
👉… https://t.co/4RaFMSpIUN",0.6124,0.261,0.0,0.739,38
@BBC,Mon Aug 06 23:17:03 +0000 2018,🤸 Christine Van Loo is an acro-gymnastics champion who has choreographed routines for Britney Spears. https://t.co/RlBwN5AnNZ,0.5994,0.218,0.0,0.782,39
@BBC,Mon Aug 06 23:17:03 +0000 2018,"☀️🏝 New to #DesertIslandDiscs? 

Here’s where to start…
👉 https://t.co/UrrPpwbdV9 https://t.co/ufjJJaY28m",0.0,0.0,0.0,1.0,40
@BBC,Mon Aug 06 23:17:03 +0000 2018,"Now this is an impressive line-up!

Watch #LeadingLadyParts on @BBCiPlayer https://t.co/CLzcEFNtYl",0.5562,0.264,0.0,0.736,41
@BBC,Mon Aug 06 23:17:03 +0000 2018,"Gin and tonic are a match made in heaven. 
So, how did they come together? https://t.co/9fXOpnWpgZ",0.5106,0.191,0.0,0.809,42
@BBC,Mon Aug 06 23:17:03 +0000 2018,"When online fandom becomes toxic.
👉 https://t.co/qccSNcTi0l https://t.co/j6dJARWqBA",0.0,0.0,0.0,1.0,43
@BBC,Mon Aug 06 23:17:03 +0000 2018,"♻️🗑 Ever thought about where the waste you produce ends up after you get rid of it? 
#NoWasteMan https://t.co/axNWRfISmH",-0.4215,0.0,0.135,0.865,44
